Date,FIX,"Published in
DOF","In order to pay
obligations"
06/23/1994,3.3855,3.3790,3.3743
06/24/1994,3.3903,3.3855,3.3790
06/25/1994,N/E,N/E,3.3855
06/26/1994,N/E,N/E,3.3855
06/27/1994,3.3918,3.3903,3.3855
06/28/1994,3.3918,3.3918,3.3903
06/29/1994,3.3865,3.3918,3.3918
06/30/1994,3.3938,3.3865,3.3918
07/01/1994,3.3945,3.3938,3.3865
07/02/1994,N/E,N/E,3.3938
07/03/1994,N/E,N/E,3.3938
07/04/1994,3.3990,3.3945,3.3938
07/05/1994,3.3994,3.3990,3.3945
07/06/1994,3.3998,3.3994,3.3990
07/07/1994,3.4002,3.3998,3.3994
07/08/1994,3.4006,3.4002,3.3998
07/09/1994,N/E,N/E,3.4002
07/10/1994,N/E,N/E,3.4002
07/11/1994,3.4018,3.4006,3.4002
07/12/1994,3.4022,3.4018,3.4006
07/13/1994,3.4026,3.4022,3.4018
07/14/1994,3.4025,3.4026,3.4022
07/15/1994,3.4020,3.4025,3.4026
07/16/1994,N/E,N/E,3.4025
07/17/1994,N/E,N/E,3.4025
07/18/1994,3.3998,3.4020,3.4025
07/19/1994,3.4011,3.3998,3.4020
07/20/1994,3.4052,3.4011,3.3998
07/21/1994,3.4056,3.4052,3.4011
07/22/1994,3.4060,3.4056,3.4052
07/23/1994,N/E,N/E,3.4056
07/24/1994,N/E,N/E,3.4056
07/25/1994,3.4072,3.4060,3.4056
07/26/1994,3.4078,3.4072,3.4060
07/27/1994,3.4019,3.4078,3.4072
07/28/1994,3.4006,3.4019,3.4078
07/29/1994,3.4006,3.4006,3.4019
07/30/1994,N/E,N/E,3.4006
07/31/1994,N/E,N/E,3.4006
08/01/1994,3.3989,3.4006,3.4006
08/02/1994,3.3789,3.3989,3.4006
08/03/1994,3.3753,3.3789,3.3989
08/04/1994,3.3781,3.3753,3.3789
08/05/1994,3.3829,3.3781,3.3753
08/06/1994,N/E,N/E,3.3781
08/07/1994,N/E,N/E,3.3781
08/08/1994,3.3870,3.3829,3.3781
08/09/1994,3.3882,3.3870,3.3829
08/10/1994,3.4030,3.3882,3.3870
08/11/1994,3.3980,3.4030,3.3882
08/12/1994,3.3996,3.3980,3.4030
08/13/1994,N/E,N/E,3.3980
08/14/1994,N/E,N/E,3.3980
08/15/1994,3.4048,3.3996,3.3980
08/16/1994,3.4078,3.4048,3.3996
08/17/1994,3.3845,3.4078,3.4048
08/18/1994,3.3769,3.3845,3.4078
08/19/1994,3.3593,3.3769,3.3845
08/20/1994,N/E,N/E,3.3769
08/21/1994,N/E,N/E,3.3769
08/22/1994,3.3358,3.3593,3.3769
08/23/1994,3.3428,3.3358,3.3593
08/24/1994,3.3555,3.3428,3.3358
08/25/1994,3.3671,3.3555,3.3428
08/26/1994,3.3826,3.3671,3.3555
08/27/1994,N/E,N/E,3.3671
08/28/1994,N/E,N/E,3.3671
08/29/1994,3.3794,3.3826,3.3671
08/30/1994,3.3815,3.3794,3.3826
08/31/1994,3.3903,3.3815,3.3794
09/01/1994,3.3908,3.3903,3.3815
09/02/1994,3.3778,3.3908,3.3903
09/03/1994,N/E,N/E,3.3908
09/04/1994,N/E,N/E,3.3908
09/05/1994,3.3896,3.3778,3.3908
09/06/1994,3.4040,3.3896,3.3778
09/07/1994,3.3983,3.4040,3.3896
09/08/1994,3.4014,3.3983,3.4040
09/09/1994,3.4123,3.4014,3.3983
09/10/1994,N/E,N/E,3.4014
09/11/1994,N/E,N/E,3.4014
09/12/1994,3.4134,3.4123,3.4014
09/13/1994,3.4199,3.4134,3.4123
09/14/1994,3.4168,3.4199,3.4134
09/15/1994,3.4145,3.4168,3.4199
09/16/1994,N/E,3.4145,3.4168
09/17/1994,N/E,N/E,3.4145
09/18/1994,N/E,N/E,3.4145
09/19/1994,3.4078,N/E,3.4145
09/20/1994,3.4068,3.4078,N/E
09/21/1994,3.4030,3.4068,3.4078
09/22/1994,3.4088,3.4030,3.4068
09/23/1994,3.3905,3.4088,3.4030
09/24/1994,N/E,N/E,3.4088
09/25/1994,N/E,N/E,3.4088
09/26/1994,3.3733,3.3905,3.4088
09/27/1994,3.3908,3.3733,3.3905
09/28/1994,3.4040,3.3908,3.3733
09/29/1994,3.3980,3.4040,3.3908
09/30/1994,3.3983,3.3980,3.4040
10/01/1994,N/E,N/E,3.3980
10/02/1994,N/E,N/E,3.3980
10/03/1994,3.3984,3.3983,3.3980
10/04/1994,3.4143,3.3984,3.3983
10/05/1994,3.4128,3.4143,3.3984
10/06/1994,3.4159,3.4128,3.4143
10/07/1994,3.4175,3.4159,3.4128
10/08/1994,N/E,N/E,3.4159
10/09/1994,N/E,N/E,3.4159
10/10/1994,3.4160,3.4175,3.4159
10/11/1994,3.4199,3.4160,3.4175
